RAD_Results_from_Floragenex,Batch,PLATE_no,Row_no,Inst.,Extraction_Tube_no,Species,Collector_no,Wild_Garden_Collected,Original_Source_Information,Vouchers,MOR_Herbarium_Accession_Number,Notes,Voucher_Image,Photo_1,Photo_2,City,County,State_Province,Country,Lat,Long,Georeference_Source,Cronn_CP,AFLP,Section,Floragenex Library Name,SEQUENCED ON,SEQUENCING DETAILS
YES,2,2,A12,UMN,OAK-UMN-263,Quercus potosina,JCB-MX-OA-TE-12,Wild collected,"Oaxaca, Mexico; ",,175539,,http://quercus.lifedesks.org/node/978,,,,,Oaxaca,Mexico,18.17126887,-97.03584756,GPS,NO,YES,Quercus L.,,,
YES,2,2,B12,UMN,OAK-UMN-297,Quercus conspersa,JCB-MX-OA-SV-46,Wild collected,"Oaxaca, Mexico; ",,175708,,,,,,,Oaxaca,Mexico,16.48842378,-96.98358413,GPS,NO,NO,Lobatae G.Don in J.C.Loudon,,,
YES,2,2,C12,UMN,OAK-UMN-323,Quercus iltisii,JCB-MX-OA-PO-72,Wild collected,"Oaxaca, Mexico","UMN, MOR",175548,,http://quercus.lifedesks.org/node/882,,,,,Oaxaca,Mexico,16.02712682,-96.51428875,GPS,NO,YES,Lobatae G.Don in J.C.Loudon,,,
RAD didn't work; 1194 reads obtained,2,2,D12,UMN,OAK-UMN-344,Quercus segoviensis,JCB-HN-MZ-1,Wild collected,"Honduras, Macuelizo",,176580,,,,,,,,Honduras,15.346485,-88.549281,"google earth to Macuelizo, Honduras",NO,NO,Quercus L.,,,
YES,2,2,E12,UMN,OAK-UMN-399,Quercus affinis,JCB-MX-??-ZA-519,Wild collected,Mexico,,,,,,,,,#N/A,Mexico,NA,NA,NA,NO,NO,Lobatae G.Don in J.C.Loudon,,,
YES,2,2,F12,DUKE,PM1,Quercus durata,PM1,Wild collected,"California, CA, 1416m elevation, collected by Paul Manos",,,,,,,,,California,USA,38.51265,-122.48304,?? Only have information to State level ; Google Earth to ~mid point in California; accuracy to state only!!!!!!!!!!!!!!!!!!!!!! I put it in Napa County; ,NO,YES,Quercus L.,,,
YES,2,2,G12,DUKE,PM2,Quercus agrifolia,PM2,Wild collected,"California, CA, 1416m elevation, collected by Paul Manos",,,,,,,,,California,USA,38.059193,-121.339836,?? Only have information to State level; just chose mid pt of California for time being…..,NO,YES,Lobatae G.Don in J.C.Loudon,,,
YES,2,2,H12,DUKE,PM4,Quercus tomentella,PM4,Rancho Santa Ana Botanical Garden,Collected from Rancho Santa Anna Botanic Garden.  Source info from RSABG : ???,,,,,,,,,,,38.059193,-121.339836,Not sure the provenance information from Rancho Santa Ana collection…  I'm thowing it into the midpoint of California as the whole state of California seems to be tomentella's range.,NO,YES,Protobalanus (Trelease) A.Camus,,,
not run yet,2,3,A1,DUKE,PM96,Quercus bicolor,PM96,Wild collected,"New York, USA;  collected by EA Cope",,,,,,,,,New York,USA,42.459473,-76.502257,PM gps info,NO,NO,Quercus L.,,,
run as replacement in batch 5,2,3,B1,MOR,OAK-MOR-472,Quercus hinckleyi ,QUH1006,Wild collected,silia-dried leaves received from Janet Backs;  QUH1006 pop1,n/a,photo voucher,,http://quercus.lifedesks.org/node/988,,,,,Texas,USA,29.8035,-104.341,GPS,NO,YES,Quercus L.,,,
yes,3,4,A1,UMN,OAK-UMN-338,Quercus purulhana,JCB-BZ-MPR-PU-1,Wild collected,,,,,,,,,,,Belize,17.153462,-88.718554,"Google Earth to center of Belize, maybe can get more specific",NO,NO,Quercus L.,,,
yes,3,4,B1,UMN,OAK-UMN-012,Quercus myrtifolia,JCB-US-FL-RR-MY-1,Wild collected,,,175163,,,,,,,Florida,USA,29.900183,-82.5802,lat/long convertor of GPS to decimal degrees,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,C1,UMN,OAK-UMN-067,Quercus uxoris, JCB-MX-JA-MA-136,Wild collected,,,,,,,,,,Jalisco,Mexico,20.81070947,-103.8647085,GPS,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,D1,UMN,OAK-UMN-304,Quercus crispifolia ,JCB-MX-OA-CP-53,Wild collected,,,175499,,,,,,,Oaxaca,Mexico,16.21648877,-97.13741175,GPS,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,E1,UMN,OAK-UMN-397,Quercus insignis,JCB-MX-??-RV,Wild collected,,,,,,,,,,Ranco Veracruz,Mexico,NA,NA,NA,NO,NO,Quercus L.,,,
yes,3,4,F1,UMN,CR-JCB-1,Quercus costaricensis,CR-JCB-1,Wild collected,Costa Rica,,,,,,,,,,Costa Rica,9.886116,-83.921087,Google Earth to ~center of Costa Rica,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,G1,UMN,CR-JCB-2,Quercus costaricensis,CR-JCB-2,Wild collected,Costa Rica,,,,,,,,,,Costa Rica,9.886116,-83.921087,Google Earth to ~center of Costa Rica,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,H1,UMN,CR-JCB-3,Quercus copeyensis,CR-JCB-3,Wild collected,Costa Rica,,,,,,,,,,Costa Rica,9.886116,-83.921087,Google Earth to ~center of Costa Rica,NO,NO,Quercus L.,,,
yes,3,4,A2,UMN,JCB-MX-OA-OA-34,"Quercus ""new species""",JCB-MX-OA-OA-34,Wild collected,,,,,,,,,,,,16.57455521,-96.92784112,GPS,NO,NO,Quercus L.,,,
yes,3,4,B2,UMN,JCB-MX-JA-TS-215,Quercus obtusata,JCB-MX-JA-TS-215,Wild collected,,,,,,,,,,,,20.4992113,-103.0308642,GPS,NO,NO,Quercus L.,,,
yes,3,4,C2,UMN,JCB-MX-JA-MA-153,Quercus magnolifolia,JCB-MX-JA-MA-153,Wild collected,,,,,,,,,,,,19.64274022,-104.3329098,GPS,NO,NO,Quercus L.,,,
yes,3,4,D2,UMN,JCB-MX-JA-TM-123,Quercus resinosa,JCB-MX-JA-TM-123,Wild collected,,,,,,,,,,,,20.8251691,-103.8562117,GPS,NO,NO,Quercus L.,,,
RAD failed,3,4,E2,UMN,HN-TZ-SV-7 ,Quercus segoviensis,HN-TZ-SV-7 ,Wild collected,,,,ran slightly oddly in gel; but other option is brown colored extraction,,,,,,,,NA,NA,NA,NO,NO,Quercus L.,,,
yes,3,4,F2,AGR,AGR-3,Quercus germanii,AGR-3-germanii-1,Wild collected,"Veracruz, Mexico, INECOL",,,,,,,,,Veracruz,Mexico,19.4869,-96.9385,GPS,NO,NO,NA,,,
yes,3,4,G2,AGR,AGR-4,Quercus germanii,AGR-4-germanii-2,Wild collected,"Veracruz, Mexico, INECOL",,,,,,,,,Veracruz,Mexico,19.4869,-96.9385,GPS,NO,NO,NA,,,
yes,3,4,H2,AGR,AGR-5,Quercus pinnativenulosa,AGR-5-pinnativenulosa-1,Wild collected,"Veracruz, Mexico, Banderilla",,,,,,,,,Veracruz,Mexico,19.5901,-96.9434,GPS,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,A3,AGR,AGR-8,Quercus sartorii,AGR-8-sartorii-2,Wild collected,"Hidalgo, Mexico, Coatatlán",,,,,,,,,Hidalgo,Mexico,21.01654,-98.6772,GPS,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,B3,DUKE,PM-98,Quercus muehlenbergii,PM-98,Wild collected,"Collected by EA Cope in New York, USA",,,,,,,,,New York,USA,42.564255,-76.873839,PM gps info,NO,NO,Quercus L.,,,
yes,3,4,C3,DUKE,PM-80b,Quercus ilicifolia,PM-80,Wild collected,"Suffolk County; west hempstead pine plains, on nature trail nearcounty water park",,,,,,,,Suffolk,New York,USA,40.861016,-72.64473,GPS,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,D3,DUKE,PM-104a,Quercus incana,PM-104,Wild collected,"Collected by Jeannine Cavendar Bares in FL, USA. IN 54",,,,,,,,,Florida,USA,31.302791,-89.441459,PM gps info,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,E3,DUKE,PM-3b,Quercus pacifica,PM-3,Rancho Santa Ana Botanical Garden,Collected from Rancho Santa Anna Botanic Garden.  Source info from RSABG : ???,,,,,,,,,,,33.375519,-118.417955,Google earth to middle of Santa Catalina Island,NO,NO,Quercus L.,,,
yes,3,4,F3,DUKE,PM-5b,Quercus kelloggii,PM-5,Rancho Santa Ana Botanical Garden,Collected from Rancho Santa Anna Botanic Garden.  Source info from RSABG : ???,,,,,,,,,,,NA,NA,NA,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,G3,DUKE,PM-10b,Quercus pagoda,PM-10,Wild collected,Durham county; 3658 Pineview Circle,,,,,,,,Durham,North Carolina,USA,35.976736,-78.98655,PM gps info,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,H3,DUKE,PM-12b,Quercus marilandica,PM-12,Wild collected,Durham county; Intersection Randolph Rd & Stonegate,,,,,,,,Durham,North Carolina,USA,35.983098,-78.989951,PM gps info,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,A4,DUKE,PM-19,Quercus alba,PM-19,Wild collected,Durham county; near crossroad Cornwallis Rd and Murphy School Rd,,,,,,,,Durham,North Carolina,USA,36.021818,-79.016068,PM gps info,YES,NO,Quercus L.,,,
yes,3,4,B4,DUKE,PM-47b,Quercus hemisphaerica,PM-47,Wild collected,Bladen County; south of Singletary Lake State Park,,,,,,,,Bladen,North Carolina,USA,34.51688,-78.4102,GPS,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,C4,DUKE,PM-49,Quercus incana,PM-49,Wild collected,Bladen County; south of Singletary Lake State Park,,,,,,,,Bladen,North Carolina,USA,34.446883,-78.2203,GPS,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,D4,DUKE,PM-76,Quercus montana,PM-76,Wild collected,Rutherford County; Granite outcrop at Sandy Mush,,,,,,,,Rutherford,North Carolina,USA,35.267294,-81.855269,PM gps info,NO,NO,Quercus L.,,,
yes,3,4,E4,DUKE,PM-93b,Quercus prinoides,PM-93,Wild collected,"Colleced by EA Cope in New York, USA",,,,,,,,,New York,USA,42.001477,-76.599121,PM gps info,NO,NO,Quercus L.,,,
yes,3,4,F4,DUKE,PM-101a,Quercus georgiana,PM-101,Wild collected,"Collected by D. Campbell in North Carolina, USA",,,,,,,,,North Carolina,USA,35.267294,-81.855269,PM gps info,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,G4,DUKE,PM-103a,Quercus sadleriana,PM-103,Wild collected,"Collected by MR Mesler in California, USA",,,,,,,,,California,USA,NA,NA,NA,NO,NO,Quercus L.,,,
yes,3,4,H4,DUKE,PM141,Quercus dumosa,PM141,Wild collected,,,,,,,,,,,USA,34.018,-118.381,PM gps info,NO,NO,Quercus L.,,,
yes,3,4,A5,DUKE,PM147,Quercus nigra,PM147,Wild collected,,,,,,,,,,,USA,36.016044,-78.931919,PM gps info,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,B5,DUKE,PM150,Quercus rubra,PM150,Wild collected,,,,,,,,,,,USA,35.047043,-83.186868,PM gps info,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,C5,DUKE,PM148,Quercus phellos,PM148,Wild collected,,,,,,,,,,,USA,36.018276,-78.922405,PM gps info,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,D5,MOR,OAK-MOR-405,Quercus coccinea,IL-MOR-MH81,The Morton Arboretum,"collected by: Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedi;  west edge of Hawn State Park   in St. Genevieve County Missouri U.S.A.. (37.827556, -90.258417, 939 ft)",,174546,"verified det by AH, voucher + looking at tree in LC",,,,,Genevieve,Missouri,USA,37.827556,-90.258417,GPS,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,E5,MOR,OAK-MOR-423,Quercus coccinea,IL-MOR-MH89,The Morton Arboretum,"collected by: Douglas Goldman, Harvard University Herbarium;   in Middlesex? County New Jersey U.S.A.",,174509,"verified det by AH, voucher + looking at tree in LC",,,,,Middlesex,New Jersey,USA,40.428166,-74.394271,"Google earth to middle of Middlesex Co, NJ",NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,F5,MOR,OAK-MOR-90,Quercus douglasii,CA-DAV-MH43,UC Davis Arboretum,"CA: Solano Co.: Winters: Plant was grown from seed collected along Central Lane, off of Pitt School Rd. John Lichter s.n.",,174694,"voucher looked at by AH, approved",http://quercus.lifedesks.org/node/953,,,,,,,38.454117,-121.840951,"Google earth to Pitt School Rd in Solano Co., couldn't find Central Lane…",NO,NO,Quercus L.,,,
yes,3,4,G5,MOR,OAK-MOR-68,Quercus falcata,IL-MOR-MH100,The Morton Arboretum,"collected by: Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedi;  Village Creek State Park near visitor center parking lot in Cross County Arkansas U.S.A.. (35.162806, -90.7175, 307 ft)",,174536,ethanol precip of 68 + 384; photo's 1 and 2 are more mature leaves than voucher image (revisiting tree in Aug 2013 for mature leave images),http://quercus.lifedesks.org/node/986,http://quercus.lifedesks.org/node/943,http://quercus.lifedesks.org/node/944,,Cross,Arkansas,USA,35.162806,-90.7175,GPS,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,H5,MOR,OAK-MOR-221,Quercus margarettae,IL-SH-049,Starhill Forest Arboretum,"Bob McCartney; Aiken, SC, USA",MOR-tiny + photos,,"unmounted voucher looked at by AH, approved",,,,,,,,33.560417,-81.719553,"Google earth to Aiken, SC.",NO,NO,Quercus L.,,,
yes,3,4,A6,MOR,OAK-MOR-448,Quercus sinuata var. breviloba,IL-SH-052,Starhill Forest Arboretum,"Collin Co., TX, USA ",,175344,"voucher looked at by AH, approved",http://quercus.lifedesks.org/node/1007,,,,Collin,Texas,USA,33.185902,-96.571204,"Google earth to center of Collin Co., TX",NO,NO,Quercus L.,,,
yes,3,4,B6,MOR,OAK-MOR-340,Quercus stellata,IL-MOR-MH101,The Morton Arboretum,"collected by: Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedi;  along I-44 and RR at Rosati in Phelps County Missouri U.S.A. (38.034944, -91.520306, 1067 ft)",,174543,"voucher looked at by AH, approved",http://quercus.lifedesks.org/node/987,,,,Phelps,Missouri,USA,38.034944,-91.520306,GPS,YES,NO,Quercus L.,,,
yes,3,4,C6,MOR,OAK-MOR-204,Quercus alba,IL-SH-162,Starhill Forest Arboretum/wild,"SHF spontaneous; Petersburg, IL, USA",,175336,"voucher looked at by AH, approved",,,,Petersburg,Menard,Illinois,USA,39.9347718,-89.8016103,GPS,YES,NO,Quercus L.,,,
yes,3,4,D6,MOR,OAK-MOR-76,Quercus alba,IL-MOR-MH86,The Morton Arboretum,"Seeds wild collected by The Morton Arboretum, along St. Joseph River along River Trail on Fernwood Botanical Garden northwest of Niles, Berrien County, Michigan, USA",,174513,"voucher looked at by AH, approved",,,,,Berrien,Michigan,USA,41.866545,-86.349921,"Google earth to river near Fernwood Botanical Garden, in berrien Co, MI",YES,NO,Quercus L.,,,
yes,3,4,E6,MOR,OAK-MOR-167,Quercus velutina,IL-SH-113,Starhill Forest Arboretum/wild,"SHF spontaneous; Petersburg, IL, USA",,175236,"voucher looked at by AH, approved",,,,Petersburg,Mendard,Illinois,USA,39.93496,-89.80161,GPS,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,F6,MOR,OAK-MOR-123,Quercus lobata,CA-DAV-MH53,UC Davis Arboretum,"CA, San Benito Co. Panoche Valley.  Lou Waters sn 10 Nov 1964",,174703,"voucher looked at by AH, approved",http://quercus.lifedesks.org/node/967,,,,San Benito,California,USA,36.61667,-120.85,GEOLocate Web App.,YES,NO,Quercus L.,,,
yes,3,4,G6,MOR,OAK-MOR-256,Quercus nigra,IL-SH-157,Starhill Forest Arboretum,"Elephant Valley Farm, Canton, MS, USA",,175230,"voucher looked at by AH, approved",,,,Canton,Madison,Mississippi,USA,32.640488,-90.092475,"Elephant Valley Enterprises has address of 633 Heindl R. Canton, MS 39046--- going with this as the ",NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,H6,MOR,OAK-MOR-169,Quercus shumardii,IL-SH-111,Starhill Forest Arboretum,"I40 Mile 107; Ok, Canadian Co, USA",,175235,"voucher looked at by AH, approved",,,,,Canadian,Oklahoma,USA,35.554825,-97.978526,"Google earth to Canadian Co, OK",NO,NO,Lobatae G.Don in J.C.Loudon,,,
,3,4,A7,MOR,OAK-MOR-549 ,Quercus oglethorpensis,IL-SH-91,Starhill Forest Arboretum,"Oglethorpe Co., GA Lance 9922/99",Oak street photo voucher only,,"photo voucher looked at by AH- not optimal voucher to give great determination, but using as 2nd oglethorpensis anyway",http://quercus.lifedesks.org/node/968,,,,,,,33.887703,-83.086086,"Google earth to Oglethorpe Co., GA",NO,NO,Quercus L.,,,
,3,4,B7,MOR,OAK-MOR-461 ,Quercus phellos,IL-SH-156,Starhill Forest Arboretum,"Fort Massac State Park; Massac Co. Metropolis, IL, USA",,175320,"This was an ethanol precipitation and merging of tubes OAKS-MOR-461 + OAKS-MOR-257; voucher looked at by Ah, approved",,,,,,,,37.14389,-88.68722,GEOLocate Web App.,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,C7,MOR,OAK-MOR-133,Quercus tomentella,CA-DAV-MH14,UC Davis Arboretum,United States: CA: Santa Cruz Island: Collected at bottom of gorge of tributary leading to the southernmost drainage to China Harbor. Gankin s.n. 8 Sep 1968.,,174688,"voucher looked at by AH, approved",,,,,,,,34.023206,-119.765766,"Google earth to ~center of Santa Cruz island, CA",YES,NO,Protobalanus (Trelease) A.Camus,,,
NA,3,4,D7,MOR,CAREX-ME-2,Carex scoparia,Cross (2816 x 2893G 1B),MOR- greenhouse,Cross made by Marcial Escudero,,none,For Marcial Escudero's experiments,n/a,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,na,,,
NA,3,4,E7,MOR,CAREX-ME-12,Carex scoparia,Cross (2893G x 2830D 1C),MOR- greenhouse,Cross made by Marcial Escudero,,none,For Marcial Escudero's experiments,n/a,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,na,,,
NA,3,4,F7,MTU,NX02,Quercus,NX02,Wild collected,,na,none for MOR,For Oliver Gailings lab,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
NA,3,4,G7,MTU,NX03,Quercus,NX03,Wild collected,,na,none for MOR,For Oliver Gailings lab,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
NA,3,4,H7,MTU,NX04,Quercus,NX04,Wild collected,,na,none for MOR,For Oliver Gailings lab,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
NA,3,4,A8,MTU,NX05,Quercus,NX05,Wild collected,,na,none for MOR,For Oliver Gailings lab,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
NA,3,4,B8,MTU,NX08,Quercus,NX08,Wild collected,,na,none for MOR,For Oliver Gailings lab,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
NA,3,4,C8,MTU,NX11,Quercus,NX11,Wild collected,,na,none for MOR,For Oliver Gailings lab,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
NA,3,4,D8,MTU,NX13,Quercus,NX13,Wild collected,,na,none for MOR,For Oliver Gailings lab,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
NA,3,4,E8,MTU,NX14,Quercus,NX14,Wild collected,,na,none for MOR,For Oliver Gailings lab,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
NA,3,4,F8,MTU,NX15,Quercus,NX15,Wild collected,,na,none for MOR,For Oliver Gailings lab,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
NA,3,4,G8,MTU,NX16,Quercus,NX16,Wild collected,,na,none for MOR,For Oliver Gailings lab,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
NA,3,4,H8,MTU,NX17,Quercus,NX17,Wild collected,,na,none for MOR,For Oliver Gailings lab,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
NA,3,4,A9,MTU,NX18,Quercus,NX18,Wild collected,,na,none for MOR,For Oliver Gailings lab,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
NA,3,4,B9,MTU,NX19,Quercus,NX19,Wild collected,,na,none for MOR,For Oliver Gailings lab,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
NA,3,4,C9,MTU,NX23,Quercus,NX23,Wild collected,,na,none for MOR,For Oliver Gailings lab,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
NA,3,4,D9,MTU,NM35,Quercus,NM35,Wild collected,,na,none for MOR,For Oliver Gailings lab,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,
NA,3,4,E9,JBG,OAK-MOR-599,Quercus ithaburensis,Kochal_2,Wild collected(Israel),,,,,,,,,,,,#N/A,#N/A,#N/A,no,no,Cerris J.C.Loudon,,,
yes,3,4,F9,MOR,OAK-MOR-698,Quercus aliena,IL-MOR-MH011,Starhill Forest Arboretum,,,,,,,,,,,,35.270167,112.460167,GPS in provenance info,NO,NO,Quercus L.,,,
yes,3,4,G9,MOR,OAK-MOR-683,Quercus laevis,FL-PA-KS1,Wild collected,"Panana City, FL.  Parkway Tree",MOR,177661,,,,,,,,,30.156314,-85.652707,Google earth to street address,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes- NOT PART OF OAKS OF THE AMERICAS,3,4,H9,Marco,OAK-MOR-692,Quercus robur,TUS13-007,Wild collected,"Italy, Viterbo, Acquapendente (VT), Monte Rufeno Natural Reserve",,,,,,,,,,,#N/A,#N/A,#N/A,no,no,Quercus L.,,,
yes,3,4,A10,MOR,OAK-MOR-687,Quercus texana,IL-MOR-tex1,The Morton Arboretum,"Cultivated. Seed from Charles C. Deam in Platt National Park, Oklahoma, U.S.A.. Habitat: base of wooded slope ",,,,,,,,,,,NA,NA,NA,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,B10,MOR,OAK-MOR-685,Quercus arizonica,AZ-CH-2,Wild collected,"Chiracauha Mountains Southwestern Research Station
",,,,,,,,,,,31.89723311,-109.2431153,GPS,NO,NO,Quercus L.,,,
yes,3,4,C10,MOR,OAK-MOR-686,Quercus georgiana,IL-MOR-MH221,The Morton Arboretum,"From seed wild collected by Guy Sternberg, Starhill Forest Arboretum. Site: on Stone Mountain, De Kalb County, Georgia, U.S.A. ",,,I think this may be the same accession that we collected acorns from in Fall 2013,,,,,De Kalb,Georgia,USA,33.80611,-84.14583,GEOLocate Web App.,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,D10,MOR,OAK-MOR-694,Quercus michauxi,IL-MOR-MH079,The Morton Arboretum,"collected by: Friesner, Dept. of Botany Butler University in Jackson County Indiana U.S.A.",,,Also being used for CP seq,,,,,,,,38.905693,-86.035881,"Google earth to Jackson Co, Indiana",YES,NO,Quercus L.,,,
yes,3,4,E10,MOR,OAK-MOR-700,Quercus michauxi,IL-SH-154,Starhill Forest Arboretum,"Horeshoe Lake; Olive Branch, IL ,USA",,,Also being used for CP seq,,,,,,,,37.15382,-89.34699,"Google Earth to Horseshoe Lake near Olive Branch, IL",YES,NO,Quercus L.,,,
yes,3,4,F10,MOR,OAK-MOR-693,Quercus montana,IL-MOR-MH080,The Morton Arboretum,"collected by: Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast Un;  at picnic area across from entrance to county road 1772 leading to Potts Mountain, Jefferson National Forest  in Craig County Virginia U.S.A. (37.52575, -80.249722, 3040 ft)",,,Also being used for CP seq,,,,,,,,37.52575,-80.249722,GPS from Provenance info.,YES,NO,Quercus L.,,,
yes,3,4,G10,MOR,OAK-MOR-575,Quercus montana,IL-SH-116,Starhill Forest Arboretum,"Chimney Rock Park; NC,  USA",,,Also being used for CP seq,,,,,,,,35.429102,-82.251822,"Google earth to Chimney Rock Park, NC.",YES,NO,Quercus L.,,,
yes,3,4,H10,MOR,OAK-MOR-689,Quercus acerifolia ,IL-MOR-MH235,The Morton Arboretum,"Cultivated. Plant from Everett C. Logue, ARNOLD ARB., Peters Hill plant",,,,,,,,,,,NA,NA,NA,NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,A11,MOR,OAK-MOR-697,Quercus lobata ,CA-DAV-MH63,UC Davis Arboretum,uncertain; California native,,,,,,,,,,,NA,NA,NA,NO,NO,Quercus L.,,,
yes,3,4,B11,MOR,OAK-MOR-699,Quercus palustris,IL-MOR-MH05,THe Morton Arboretum,collected in Fayette County Kentucky U.S.A.,,,,,,,,,,,38.052609,-84.472162,"Google earth to Fayette County, KY",NO,NO,Lobatae G.Don in J.C.Loudon,,,
yes,3,4,C11,MOR,OAK-MOR-701,Quercus x acutidens,CA-DAV-MH27,UC Davis Arboretum,"Collected directly from wild on a field trip to San Diego Co.by R. Gankin. 13 through 17-XI-67. 2.0 miles from Hauser Creek Camp Ground along Hauser Creek Rd., San Diego Co. 15-XI-67.",,,voucher check- Andrew not familiar enough to ID,,,,,,,,32.67278,-116.56639,GEOLocate Web App.,NO,NO,Quercus L.,,,
yes,3,4,D11,MOR,OAK-MOR-696,Quercus douglasii,CA-DAV-MH42,UC Davis Arboretum,"CA: Solano Co.: 2.5 mi. below summit, Mix Canyon. Gankin & J. Ben Jaacov s.n.",,,,,,,,,,,38.41167,-122.04917,GEOLocate Web App.,NO,NO,Quercus L.,,,
yes,3,4,E11,MOR,OAK-MOR-623,Quercus pontica,EMBG-1196,Elizabeth Miller Botanical Garden,"Cultivated, Unknown; Elizabeth Miller Botanic Gardens",,,,,,,,,,,NA,NA,NA,NO,NO,Quercus L.,,,
yes,3,4,F11,MOR,OAK-MOR-624,Quercus pontica,EMBG-970309,Elizabeth Miller Botanical Garden,"Cultivated, Unknown; Elizabeth Miller Botanic Gardens",,,,,,,,,,,NA,NA,NA,NO,NO,Quercus L.,,,
yes,3,4,G11,MOR,OAK-MOR-625,Quercus sadleriana,EMBG-2907,Elizabeth Miller Botanical Garden,"Cultivated, Unknown; Elizabeth Miller Botanic Gardens",,,,,,,,,,,NA,NA,NA,NO,NO,Quercus L.,,,
yes,3,4,H11,MOR,OAK-MOR-626,Quercus sadleriana,EMBG-1106,Elizabeth Miller Botanical Garden,"Cultivated, Unknown; Elizabeth Miller Botanic Gardens",,,,,,,,,,,NA,NA,NA,NO,NO,Quercus L.,,,
yes,3,4,A12,MOR,OAK-MOR-650,Quercus chrysolepis,CA-DAV-MH20,UC Davis Arboretum,CA: San Diego County: Banner Grade: Canyon. 3000 ft. Wayne Roderick s.n.,,,,,,,,,,,33.06889,-116.54528,"GEOLocate Web App. To Banner Grade (rd?) in San Diego Co., CA",NO,NO,Protobalanus (Trelease) A.Camus,,,
yes,3,4,B12,MOR,OAK-MOR-632,Quercus muehlenbergii,IL-SH-057,Starhill Forest Arboretum,"Custer Co., OK, USA",,,Also being used for CP seq,,,,,,,,35.623899,-99.008733,"Google earth to center of Custer county, OK.",YES,NO,Quercus L.,,,
yes,3,4,C12,MOR,OAK-MOR-639,Quercus muehlenbergii,CA-DAV-MH049,UC Davis Arboretum,"Texas: Culberson County: Guadalupe Mountains:
McKittrick Canyon: 0.6 Mile downstream from Rock House. Typical medium-sized tree; along a wash in a patch of larger trees, in rather open part of canyon. 5150 ft. D. Cavagnaro 206. 11 Oct 1963.",,,Also being used for CP seq,,,,,,,,31.97917,-104.75417,GEOLocate Web App,YES,NO,Quercus L.,,,
